Gene,GBM_gain,LGG_gain,pval,FDR,freq_diff
ALPL,37,13,0.0012220988557692138,0.003424795785770116,0.04213836477987421
ALPPL2,16,5,0.025995852861648277,0.0497205448645229,0.019394866564677885
ALS2CL,28,5,5.949475379404536e-05,0.00025311394121217375,0.04101648818629951
ALX1,32,7,6.180254487828063e-05,0.00025992611839443846,0.044450110487846334
ALX3,48,13,8.442569680001136e-06,4.436336999799058e-05,0.06195818459969404
AMACR,27,12,0.02264854678278911,0.04387151755242188,0.02600713921468639
AMBP,45,23,0.01192146354925792,0.025690420373476172,0.03768485466598675
AMDHD1,30,7,0.0001716303703014529,0.0006105032925597393,0.04084650688424274
AMER1,9,28,0.0011767686470579783,0.00331135685619575,0.03661397246302907
AMICA1,12,55,9.244206306948027e-09,6.01253747586598e-08,0.08215196328403876
AMIGO2,33,9,0.00024126236733374698,0.0008171579234592269,0.04247832738398777
AMN1,46,18,0.0007037692282133559,0.0020850673247796766,0.04892061873193949
AMOTL1,8,37,4.599658162990301e-06,2.50462894458986e-05,0.05539690634030257
AMPD2,48,15,4.1401990258908394e-05,0.00018666319114628828,0.05818459969403366
AMPH,423,108,1.5645684059823916e-79,8.074463340564795e-78,0.5583885772565018
AMY1A,46,15,0.00010086803264047187,0.0003977460970464832,0.05458099609043005
AMZ1,421,99,6.236905209788401e-84,1.1708230305075278e-81,0.5717661057283699
ANAPC1,18,6,0.022033728705400466,0.04297018482160886,0.021111677715451305
ANGEL2,47,24,0.009692196866217626,0.021370931219623596,0.039401665816760155
ANGPT1,38,75,9.364877346099169e-05,0.0003744454951643166,0.07304096549379568
ANGPTL5,7,35,4.51176425441407e-06,2.4776456415110812e-05,0.053425123236443994
ANGPTL7,38,10,8.358208783225006e-05,0.0003431481123741748,0.04960054394016658
ANKEF1,179,42,1.663709573845344e-24,2.513640883300742e-23,0.2432772395036546
ANKHD1,25,9,0.008592030454918093,0.01924461049544518,0.028063912969573345
ANKIB1,440,142,2.2378257949620875e-70,8.52986492100016e-69,0.524868264490906
ANKK1,9,38,7.756149642629849e-06,4.104364176639009e-05,0.05548189699133095
ANKRD12,32,11,0.0017493898903887155,0.004761206483120285,0.03690294067652558
ANKRD13A,32,8,0.00016191331805785037,0.0005850852287278144,0.042563318035016146
ANKRD16,17,60,9.211249748802575e-08,5.609673508820644e-07,0.0825769165391807
ANKRD18B,30,9,0.0009740817847902242,0.0027874924245387934,0.03707292197858236
ANKRD18DP,38,8,7.642912219446183e-06,4.0573084380220136e-05,0.05337412884582696
ANKRD19P,42,21,0.013200158196225671,0.027640822056736913,0.03605303416624172
ANKRD20A11P,38,16,0.004812498365844113,0.011649597108034636,0.038279789223185444
ANKRD20A8P,18,6,0.022033728705400466,0.04297018482160886,0.021111677715451305
ANKRD24,180,44,7.353242217597066e-24,9.495356115552256e-23,0.24130545639979606
ANKRD26,12,57,2.948999408830677e-09,1.987962483997752e-08,0.08592554818969914
ANKRD27,164,29,4.3334471563573254e-27,8.237937897996749e-26,0.24077851436342002
ANKRD28,30,12,0.0074123580364592045,0.016769929646210355,0.0314125446200918
ANKRD29,33,9,0.00024126236733374698,0.0008171579234592269,0.04247832738398777
ANKRD30A,4,40,2.9362075546718948e-09,1.987962483997752e-08,0.06826449090600034
ANKRD30B,30,8,0.0004279066194789238,0.0013432904705966717,0.03895971443141255
ANKRD31,23,8,0.010210002752726606,0.02235838748038031,0.026347101818799932
ANKRD32,23,9,0.019296343833463993,0.038618402410842516,0.024460309365969744
ANKRD33B,30,11,0.004019185529665655,0.009978530051995173,0.033299337072921986
ANKRD36BP2,18,6,0.022033728705400466,0.04297018482160886,0.021111677715451305
ANKRD42,10,34,0.00015281379348093646,0.0005600189239865066,0.0461329253782084
ANKRD44,16,5,0.025995852861648277,0.0497205448645229,0.019394866564677885
ANKRD46,35,70,0.00013021057435067066,0.0004886312857567146,0.06901240863505015
ANKRD52,39,11,0.00011840273809974537,0.0004468567483472575,0.0495155532891382
ANKRD60,174,45,8.014317579657137e-22,7.147210297582594e-21,0.22860785313615506
ANKRD61,423,101,8.2131173137774e-84,1.2715937713227733e-81,0.571596124426313
ANKRD62,30,10,0.002048710493951572,0.005470756436373526,0.035186129525752174
ANKRD7,426,158,4.433121590508893e-56,9.272509755746874e-55,0.4694543600203978
ANKS1B,31,9,0.0006158722150697749,0.0018454048136308618,0.03887472378038416
ANKS6,43,22,0.01466769136654186,0.030416927498305112,0.03596804351521333
ANKUB1,36,4,1.4938275188418138e-07,9.053390507653899e-07,0.057317695053544115
ANLN,425,108,1.3093525718022194e-80,7.505288902032721e-79,0.5619921808601054
ANO1,6,31,1.335779475935544e-05,6.793341066576363e-05,0.04767975522692504
ANO10,31,7,0.00010329003718746068,0.0003977460970464832,0.042648308686044537
ANO4,31,10,0.0013262029808564068,0.0036787802671779677,0.03698793132755397
ANO6,36,9,5.64729480997015e-05,0.00024625747228841963,0.047883732789393174
ANP32D,31,9,0.0006158722150697749,0.0018454048136308618,0.03887472378038416
ANXA13,39,85,3.635083985737752e-06,2.021914492511465e-05,0.09010708822029576
ANXA2R,27,10,0.007202344121864641,0.01641974740329154,0.029780724120346765
